title,category,essence,function,application,example,pitfall,pairs_with,source
"Der Held","Charakter-Archetyp","Die Figur im Zentrum der Geschichte, die durch die Handlung eine innere Wandlung durchläuft. Er verkörpert das Streben des Lesers nach Bedeutung und Selbstüberwindung.","Gibt dem Leser einen emotionalen Ankerpunkt und treibt die Handlung durch aktive Entscheidungen voran. Seine Schwächen erzeugen Konflikt, seine Entwicklung die Befriedigung.","Was will meine Figur bewusst – und was braucht sie wirklich? Wo weichen diese beiden Dinge voneinander ab?","Frodo Beutlin (Der Herr der Ringe), Luke Skywalker (Star Wars), Katniss Everdeen (Die Tribute von Panem)","Ein Held ohne echte Fehler oder Schwächen bleibt unnahbar und erzeugt keine emotionale Investition.","Die Wunde der Figur, Wunsch vs. Bedürfnis","Der Heros in tausend Gestalten, Joseph Campbell"
"Der Mentor","Charakter-Archetyp","Eine erfahrene Figur, die dem Helden Wissen, Werkzeuge oder Motivation mitgibt. Er verkörpert die höhere Weisheit, die der Held noch erwerben muss.","Ermöglicht glaubwürdige Exposition ohne Info-Dump, stellt Ausrüstung oder Aufgaben bereit und erhöht die Einsätze durch seinen späteren Tod oder Rückzug.","Welche entscheidende Lektion gibt mein Mentor dem Helden mit – und wann wird dieser sie erstmals missverstehen?","Gandalf (Der Herr der Ringe), Obi-Wan Kenobi (Star Wars), Dumbledore (Harry Potter), Haymitch (Die Tribute von Panem)","Ein Mentor, der zu viel löst, nimmt dem Helden die Handlungsmacht.","Der Mentorentod, Der Held","Der Heros in tausend Gestalten, Joseph Campbell"
"Der Schatten","Charakter-Archetyp","Der Antagonist oder die dunklere innere Kraft, die dem Helden gegenübersteht. Er spiegelt oft die unerfüllten Potenziale oder verdrängten Impulse des Helden.","Erzeugt den zentralen Konflikt und zwingt den Helden zur Konfrontation mit seiner eigenen Dunkelheit. Je ähnlicher Schatten und Held, desto stärker die Spannung.","Welche Eigenschaft des Antagonisten könnte auch in meinem Helden stecken – und unter welchen Umständen hätte der Held denselben Weg gewählt?","Voldemort (Harry Potter), Hannibal Lecter (Das Schweigen der Lämmer), Thanos (Avengers: Infinity War)","Ein Schatten, der nur böse ist ohne Motivation, erzeugt keine echte thematische Spannung.","Figur vs. sich selbst, Gegen-Thema","Die Archetypen und das kollektive Unbewusste, C.G. Jung"
"Der Gestaltwandler","Charakter-Archetyp","Eine Figur, deren Absichten und Loyalitäten für den Helden und den Leser schwer zu durchschauen sind. Sie changiert zwischen Vertrauen und Bedrohung.","Erzeugt Unsicherheit und Spannung. Hält den Leser in der Schwebe bezüglich Vertrauen und Verrat und ermöglicht überraschende Wendungen.","An welchem Punkt der Geschichte wechselt mein Gestaltwandler die scheinbare Seite – und wie bereite ich dies durch frühere Szenen vor?","Hans (Die Eiskönigin), Severus Snape (Harry Potter), Amy Dunne (Gone Girl)","Zu viele Gesinnungswechsel ohne innere Logik wirken beliebig statt spannend.","Falsche Fährte, Der Twist","Der Heros in tausend Gestalten, Joseph Campbell"
"Der Trickster","Charakter-Archetyp","Eine Figur, die durch Humor, List und regelwidriges Denken Konventionen bricht. Er steht außerhalb der sozialen Ordnung und hinterfragt sie.","Schafft Komödienmomente, löst Spannungsknoten durch Überraschung und spiegelt absurde oder ungerechte Systeme satirisch wider.","Welche ernste Situation in meiner Geschichte könnte durch die unerwartete Intervention eines Tricksters gebrochen und neu beleuchtet werden?","Loki (Nordische Mythologie / Marvel), Jack Sparrow (Fluch der Karibik), Fred & George Weasley (Harry Potter)","Ein Trickster, der nie Konsequenzen trägt, verliert seine dramatische Glaubwürdigkeit.","Ruhepause, Verbündeter",""
"Der Schwellenhüter","Charakter-Archetyp","Eine Figur oder Kraft, die den Zugang zu einer neuen Welt, Stufe oder Information bewacht. Sie testet die Bereitschaft des Helden.","Markiert narrative Übergänge, erhöht die Einsätze vor Schlüsselmomenten und zeigt dem Leser, dass der Held sich bewähren muss.","Welches Hindernis – eine Figur, eine Prüfung, eine innere Hemmung – steht am Eingang des nächsten Kapitels meiner Hauptfigur?","Die Wächter in Matrix, Zerberus (Griechische Mythologie), Gollum am Eingang zu Mordor","",  "Die Heldenreise, Szenenziel & Hindernisse","Der Heros in tausend Gestalten, Joseph Campbell"
"Der Herold","Charakter-Archetyp","Eine Figur oder ein Ereignis, das den Ruf zum Abenteuer überbringt und Wandel ankündigt. Er markiert den Beginn einer neuen Phase.","Setzt die Handlung in Gang und macht dem Protagonisten und dem Leser klar, dass die gewohnte Welt sich verändert hat oder verändern wird.","Wie kündigt sich der erste Bruch in der Alltagswelt meiner Figur an – durch eine Begegnung, eine Nachricht oder ein ungewöhnliches Ereignis?","Der Brief von Hogwarts (Harry Potter), R2-D2 mit Leias Botschaft (Star Wars)","","Die Heldenreise, In Medias Res","Der Heros in tausend Gestalten, Joseph Campbell"
"Der Verbündete","Charakter-Archetyp","Eine Figur, die den Helden auf seiner Reise begleitet, unterstützt und durch ihren eigenen Charakter bereichert.","Ermöglicht Dialog als Spiegel für die Gedanken des Helden, verteilt emotionale Last und kann als Kontrast zur Hauptfigur dienen.","Was bringt mein Verbündeter ein, das mein Held allein nicht hätte – und wo könnten ihre Ziele in Konflikt geraten?","Sam Gamgee (Der Herr der Ringe), Hermione & Ron (Harry Potter), Chewbacca (Star Wars)","Ein Verbündeter ohne eigene Wünsche und Fehler ist nur ein Werkzeug, keine Figur.","Kontrastfigur (Foil), Flacher Bogen",""
"Der Rebell","Charakter-Archetyp","Eine Figur, die sich gegen etablierte Normen, Autoritäten oder Systeme auflehnt. Er verkörpert den Wunsch nach Autonomie und Wandel.","Treibt gesellschaftliche Konflikte voran, gibt Außenseiter-Perspektiven und kann als Katalysator für den Wandel des Status quo dienen.","Gegen welches konkrete System oder welche Norm rebelliert meine Figur – und was kostet sie dieser Widerstand?","Katniss Everdeen (Die Tribute von Panem), McMurphy (Einer flog über das Kuckucksnest), V (V wie Vendetta)","Rebellion ohne persönliche Konsequenz erzeugt keine echte Spannung.","Figur vs. Gesellschaft, Negativer Bogen",""
"Die Heldenreise","Plot-Struktur","Ein universelles 12-stufiges Narrativmuster: von der gewohnten Welt über den Aufbruch und Prüfungen bis zur entscheidenden Konfrontation und Rückkehr mit Gewinn. Es spiegelt psychologische Reifungsprozesse wider.","Liefert ein bewährtes dramatisches Gerüst mit klaren emotionalen Wendepunkten, das über Kulturen und Genres hinweg funktioniert.","Wo steht meine Figur auf der Heldenreise – und welchen Schritt verweigert sie gerade noch?","Frodo (Der Herr der Ringe), Luke Skywalker (Star Wars), Simba (Der König der Löwen), Odysseus (Die Odyssee)","Zu sklavische Anwendung erzeugt vorhersehbare Geschichten; die Reise ist ein Kompass, kein Kochrezept.","Positiver Wandlungsbogen, Der Held","Der Heros in tausend Gestalten, Joseph Campbell; Die Odyssee des Drehbuchschreibers, Christopher Vogler"
